date,anksiyete,uykusuzluk,stres,panik atak,mide yanması,province_code,province,region7
2018-01-01,37,21,52,31,17,TR-01,Adana,Akdeniz
2018-02-01,39,20,49,33,20,TR-01,Adana,Akdeniz
2018-03-01,49,17,59,36,25,TR-01,Adana,Akdeniz
2018-04-01,41,16,55,34,25,TR-01,Adana,Akdeniz
2018-05-01,41,19,46,31,32,TR-01,Adana,Akdeniz
2018-06-01,40,16,43,35,21,TR-01,Adana,Akdeniz
2018-07-01,45,18,49,41,19,TR-01,Adana,Akdeniz
2018-08-01,49,16,49,32,23,TR-01,Adana,Akdeniz
2018-09-01,44,18,39,38,18,TR-01,Adana,Akdeniz
2018-10-01,36,10,42,36,24,TR-01,Adana,Akdeniz
2018-11-01,47,14,51,34,28,TR-01,Adana,Akdeniz
2018-12-01,59,19,42,30,32,TR-01,Adana,Akdeniz
2019-01-01,45,23,44,36,28,TR-01,Adana,Akdeniz
2019-02-01,56,19,42,36,35,TR-01,Adana,Akdeniz
2019-03-01,51,14,57,27,40,TR-01,Adana,Akdeniz
2019-04-01,42,12,41,33,33,TR-01,Adana,Akdeniz
2019-05-01,42,15,44,37,28,TR-01,Adana,Akdeniz
2019-06-01,48,17,39,42,24,TR-01,Adana,Akdeniz
2019-07-01,47,19,52,39,29,TR-01,Adana,Akdeniz
2019-08-01,62,20,41,41,20,TR-01,Adana,Akdeniz
2019-09-01,57,17,50,36,29,TR-01,Adana,Akdeniz
2019-10-01,56,21,46,44,26,TR-01,Adana,Akdeniz
2019-11-01,49,13,45,45,23,TR-01,Adana,Akdeniz
2019-12-01,52,10,53,34,36,TR-01,Adana,Akdeniz
2020-01-01,50,21,36,22,30,TR-01,Adana,Akdeniz
2020-02-01,52,14,45,38,26,TR-01,Adana,Akdeniz
2020-03-01,52,7,44,43,29,TR-01,Adana,Akdeniz
2020-04-01,64,20,52,45,35,TR-01,Adana,Akdeniz
2020-05-01,73,19,57,36,37,TR-01,Adana,Akdeniz
2020-06-01,65,17,70,41,27,TR-01,Adana,Akdeniz
2020-07-01,56,11,48,34,27,TR-01,Adana,Akdeniz
2020-08-01,59,21,43,45,21,TR-01,Adana,Akdeniz
2020-09-01,57,14,36,39,26,TR-01,Adana,Akdeniz
2020-10-01,69,11,47,31,24,TR-01,Adana,Akdeniz
2020-11-01,66,17,44,34,25,TR-01,Adana,Akdeniz
2020-12-01,62,24,48,24,32,TR-01,Adana,Akdeniz
2021-01-01,86,23,45,38,22,TR-01,Adana,Akdeniz
2021-02-01,83,19,76,42,25,TR-01,Adana,Akdeniz
2021-03-01,69,9,64,48,20,TR-01,Adana,Akdeniz
2021-04-01,72,16,68,39,32,TR-01,Adana,Akdeniz
2021-05-01,79,18,73,48,19,TR-01,Adana,Akdeniz
2021-06-01,69,9,71,39,24,TR-01,Adana,Akdeniz
2021-07-01,75,11,60,35,12,TR-01,Adana,Akdeniz
2021-08-01,65,13,50,40,19,TR-01,Adana,Akdeniz
2021-09-01,83,17,54,37,31,TR-01,Adana,Akdeniz
2021-10-01,67,15,50,35,26,TR-01,Adana,Akdeniz
2021-11-01,55,16,49,30,25,TR-01,Adana,Akdeniz
2021-12-01,57,9,46,28,20,TR-01,Adana,Akdeniz
2022-01-01,76,11,42,31,22,TR-01,Adana,Akdeniz
2022-02-01,75,12,48,30,27,TR-01,Adana,Akdeniz
2022-03-01,70,16,47,35,34,TR-01,Adana,Akdeniz
2022-04-01,85,15,50,31,29,TR-01,Adana,Akdeniz
2022-05-01,71,14,64,35,34,TR-01,Adana,Akdeniz
2022-06-01,82,13,54,43,27,TR-01,Adana,Akdeniz
2022-07-01,77,18,49,41,24,TR-01,Adana,Akdeniz
2022-08-01,100,11,56,48,22,TR-01,Adana,Akdeniz
2022-09-01,78,24,52,49,32,TR-01,Adana,Akdeniz
2022-10-01,88,13,54,42,27,TR-01,Adana,Akdeniz
2022-11-01,94,18,52,40,23,TR-01,Adana,Akdeniz
2022-12-01,75,19,63,39,31,TR-01,Adana,Akdeniz
2023-01-01,75,19,56,40,28,TR-01,Adana,Akdeniz
2023-02-01,63,13,63,50,25,TR-01,Adana,Akdeniz
2023-03-01,75,12,57,41,24,TR-01,Adana,Akdeniz
2023-04-01,88,9,64,32,35,TR-01,Adana,Akdeniz
2023-05-01,84,17,58,39,27,TR-01,Adana,Akdeniz
2023-06-01,83,18,68,52,31,TR-01,Adana,Akdeniz
2023-07-01,67,12,58,57,28,TR-01,Adana,Akdeniz
2023-08-01,75,10,52,50,33,TR-01,Adana,Akdeniz
2023-09-01,72,9,59,57,31,TR-01,Adana,Akdeniz
2023-10-01,74,23,67,47,34,TR-01,Adana,Akdeniz
2023-11-01,72,12,63,39,27,TR-01,Adana,Akdeniz
2023-12-01,72,17,54,35,43,TR-01,Adana,Akdeniz
2024-01-01,65,17,55,43,38,TR-01,Adana,Akdeniz
2024-02-01,64,18,62,37,32,TR-01,Adana,Akdeniz
2024-03-01,66,18,62,27,37,TR-01,Adana,Akdeniz
2024-04-01,49,13,50,43,26,TR-01,Adana,Akdeniz
2024-05-01,64,15,66,35,28,TR-01,Adana,Akdeniz
2024-06-01,56,11,45,42,24,TR-01,Adana,Akdeniz
2024-07-01,67,22,50,48,23,TR-01,Adana,Akdeniz
2024-08-01,52,11,64,52,16,TR-01,Adana,Akdeniz
2024-09-01,63,0,40,38,23,TR-01,Adana,Akdeniz
2024-10-01,64,11,47,32,30,TR-01,Adana,Akdeniz
2024-11-01,62,13,47,34,25,TR-01,Adana,Akdeniz
2024-12-01,57,19,54,30,24,TR-01,Adana,Akdeniz
2025-01-01,52,15,56,37,27,TR-01,Adana,Akdeniz
2025-02-01,60,0,51,46,21,TR-01,Adana,Akdeniz
2025-03-01,58,13,52,29,25,TR-01,Adana,Akdeniz
2025-04-01,51,17,51,39,24,TR-01,Adana,Akdeniz
2025-05-01,36,20,61,31,34,TR-01,Adana,Akdeniz
2025-06-01,42,15,44,42,25,TR-01,Adana,Akdeniz
2025-07-01,44,10,43,39,22,TR-01,Adana,Akdeniz
2025-08-01,37,0,43,29,16,TR-01,Adana,Akdeniz
2025-09-01,44,0,51,31,18,TR-01,Adana,Akdeniz
2025-10-01,44,12,51,32,26,TR-01,Adana,Akdeniz
2025-11-01,38,5,35,29,11,TR-01,Adana,Akdeniz
2018-01-01,45,24,68,44,27,TR-07,Antalya,Akdeniz
2018-02-01,49,20,73,41,33,TR-07,Antalya,Akdeniz
2018-03-01,58,21,61,42,23,TR-07,Antalya,Akdeniz
2018-04-01,48,14,71,48,18,TR-07,Antalya,Akdeniz
2018-05-01,42,18,57,34,38,TR-07,Antalya,Akdeniz
2018-06-01,55,20,58,35,27,TR-07,Antalya,Akdeniz
2018-07-01,56,19,59,43,21,TR-07,Antalya,Akdeniz
2018-08-01,58,12,50,42,23,TR-07,Antalya,Akdeniz
2018-09-01,59,0,46,39,26,TR-07,Antalya,Akdeniz
2018-10-01,54,16,49,37,27,TR-07,Antalya,Akdeniz
2018-11-01,53,18,61,43,25,TR-07,Antalya,Akdeniz
2018-12-01,56,17,55,44,33,TR-07,Antalya,Akdeniz
2019-01-01,53,28,60,42,40,TR-07,Antalya,Akdeniz
2019-02-01,55,13,47,40,31,TR-07,Antalya,Akdeniz
2019-03-01,55,26,55,41,42,TR-07,Antalya,Akdeniz
2019-04-01,63,15,48,34,26,TR-07,Antalya,Akdeniz
2019-05-01,46,12,56,33,33,TR-07,Antalya,Akdeniz
2019-06-01,39,13,46,34,18,TR-07,Antalya,Akdeniz
2019-07-01,54,0,37,43,23,TR-07,Antalya,Akdeniz
2019-08-01,52,22,49,44,24,TR-07,Antalya,Akdeniz
2019-09-01,60,17,48,38,23,TR-07,Antalya,Akdeniz
2019-10-01,48,15,58,35,22,TR-07,Antalya,Akdeniz
2019-11-01,55,19,57,22,35,TR-07,Antalya,Akdeniz
2019-12-01,57,15,50,34,38,TR-07,Antalya,Akdeniz
2020-01-01,71,23,51,39,27,TR-07,Antalya,Akdeniz
2020-02-01,80,28,53,47,36,TR-07,Antalya,Akdeniz
2020-03-01,61,14,42,51,29,TR-07,Antalya,Akdeniz
2020-04-01,81,22,57,45,42,TR-07,Antalya,Akdeniz
2020-05-01,67,29,65,38,42,TR-07,Antalya,Akdeniz
2020-06-01,62,27,64,51,28,TR-07,Antalya,Akdeniz
2020-07-01,70,15,51,43,28,TR-07,Antalya,Akdeniz
2020-08-01,78,15,44,46,21,TR-07,Antalya,Akdeniz
2020-09-01,82,21,48,44,20,TR-07,Antalya,Akdeniz
2020-10-01,63,15,54,39,20,TR-07,Antalya,Akdeniz
2020-11-01,69,15,56,35,24,TR-07,Antalya,Akdeniz
2020-12-01,81,22,49,46,38,TR-07,Antalya,Akdeniz
2021-01-01,100,26,61,58,29,TR-07,Antalya,Akdeniz
2021-02-01,84,16,73,63,30,TR-07,Antalya,Akdeniz
2021-03-01,82,9,79,57,29,TR-07,Antalya,Akdeniz
2021-04-01,91,17,70,41,34,TR-07,Antalya,Akdeniz
2021-05-01,88,19,79,43,29,TR-07,Antalya,Akdeniz
2021-06-01,92,18,81,49,25,TR-07,Antalya,Akdeniz
2021-07-01,67,14,68,52,20,TR-07,Antalya,Akdeniz
2021-08-01,70,15,55,36,22,TR-07,Antalya,Akdeniz
2021-09-01,83,17,53,37,26,TR-07,Antalya,Akdeniz
2021-10-01,67,0,55,35,28,TR-07,Antalya,Akdeniz
2021-11-01,77,17,55,36,27,TR-07,Antalya,Akdeniz
2021-12-01,59,15,66,31,28,TR-07,Antalya,Akdeniz
2022-01-01,85,18,67,35,34,TR-07,Antalya,Akdeniz
2022-02-01,82,18,58,41,33,TR-07,Antalya,Akdeniz
2022-03-01,74,13,70,42,28,TR-07,Antalya,Akdeniz
2022-04-01,78,18,57,40,33,TR-07,Antalya,Akdeniz
2022-05-01,75,19,70,39,22,TR-07,Antalya,Akdeniz
2022-06-01,72,18,49,38,27,TR-07,Antalya,Akdeniz
2022-07-01,85,14,57,30,26,TR-07,Antalya,Akdeniz
2022-08-01,82,14,43,39,27,TR-07,Antalya,Akdeniz
2022-09-01,80,15,53,32,27,TR-07,Antalya,Akdeniz
2022-10-01,81,18,53,34,28,TR-07,Antalya,Akdeniz
2022-11-01,89,20,49,36,28,TR-07,Antalya,Akdeniz
2022-12-01,97,21,62,38,34,TR-07,Antalya,Akdeniz
2023-01-01,79,18,63,44,34,TR-07,Antalya,Akdeniz
2023-02-01,98,15,66,52,32,TR-07,Antalya,Akdeniz
2023-03-01,90,17,68,39,27,TR-07,Antalya,Akdeniz
2023-04-01,80,22,77,34,29,TR-07,Antalya,Akdeniz
2023-05-01,88,15,60,39,27,TR-07,Antalya,Akdeniz
2023-06-01,83,16,54,31,23,TR-07,Antalya,Akdeniz
2023-07-01,56,16,42,43,20,TR-07,Antalya,Akdeniz
2023-08-01,72,15,48,43,28,TR-07,Antalya,Akdeniz
2023-09-01,69,17,46,39,31,TR-07,Antalya,Akdeniz
2023-10-01,65,22,56,34,25,TR-07,Antalya,Akdeniz
2023-11-01,75,19,59,41,31,TR-07,Antalya,Akdeniz
2023-12-01,82,20,70,41,33,TR-07,Antalya,Akdeniz
2024-01-01,72,23,67,32,35,TR-07,Antalya,Akdeniz
2024-02-01,82,23,73,47,20,TR-07,Antalya,Akdeniz
2024-03-01,78,21,63,34,30,TR-07,Antalya,Akdeniz
2024-04-01,54,16,53,39,31,TR-07,Antalya,Akdeniz
2024-05-01,61,18,68,39,22,TR-07,Antalya,Akdeniz
2024-06-01,50,16,52,31,19,TR-07,Antalya,Akdeniz
2024-07-01,52,14,46,35,18,TR-07,Antalya,Akdeniz
2024-08-01,60,22,49,40,19,TR-07,Antalya,Akdeniz
2024-09-01,69,11,56,32,26,TR-07,Antalya,Akdeniz
2024-10-01,65,17,49,29,25,TR-07,Antalya,Akdeniz
2024-11-01,67,19,56,42,24,TR-07,Antalya,Akdeniz
2024-12-01,70,17,56,26,30,TR-07,Antalya,Akdeniz
2025-01-01,69,23,57,34,27,TR-07,Antalya,Akdeniz
2025-02-01,65,15,66,35,28,TR-07,Antalya,Akdeniz
2025-03-01,56,16,55,32,44,TR-07,Antalya,Akdeniz
2025-04-01,50,14,61,44,25,TR-07,Antalya,Akdeniz
2025-05-01,49,14,57,31,17,TR-07,Antalya,Akdeniz
2025-06-01,43,12,50,37,17,TR-07,Antalya,Akdeniz
2025-07-01,39,7,44,31,12,TR-07,Antalya,Akdeniz
2025-08-01,39,11,45,33,21,TR-07,Antalya,Akdeniz
2025-09-01,44,11,50,27,15,TR-07,Antalya,Akdeniz
2025-10-01,33,14,44,22,12,TR-07,Antalya,Akdeniz
2025-11-01,44,6,54,25,24,TR-07,Antalya,Akdeniz
2018-01-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-02-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-03-01,76,0,0,0,0,TR-15,Burdur,Akdeniz
2018-04-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-05-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-06-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-07-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-08-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-09-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-10-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-11-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2018-12-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-01-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-02-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-03-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-04-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-05-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-06-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-07-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-08-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-09-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-10-01,67,0,0,0,0,TR-15,Burdur,Akdeniz
2019-11-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2019-12-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-01-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-02-01,77,0,0,0,0,TR-15,Burdur,Akdeniz
2020-03-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-04-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-05-01,0,67,0,0,0,TR-15,Burdur,Akdeniz
2020-06-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-07-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-08-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-09-01,0,0,100,0,0,TR-15,Burdur,Akdeniz
2020-10-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-11-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2020-12-01,62,0,0,0,0,TR-15,Burdur,Akdeniz
2021-01-01,58,0,0,0,0,TR-15,Burdur,Akdeniz
2021-02-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-03-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-04-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-05-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-06-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-07-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-08-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-09-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-10-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-11-01,0,0,0,0,0,TR-15,Burdur,Akdeniz
2021-12-01,58,0,0,0,0,TR-15,Burdur,Akdeniz
2022-01-01,41,0,55,0,0,TR-15,Burdur,Akdeniz
2022-02-01,61,0,0,0,0,TR-15,Burdur,Akdeniz
2022-03-01,51,0,61,0,0,TR-15,Burdur,Akdeniz
